what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.json,1.1.100.v201901071922,"org.eclipse.json",1629364462725
started,bundle,org.eclipse.jst.jsp.core,1.3.0.v201903222120,"org.eclipse.jst.jsp.core",1629364462757
started,bundle,org.eclipse.wst.wsdl.validation,1.1.701.v201903050508,"org.eclipse.wst.wsdl.validation",1629364462777
started,bundle,org.eclipse.wst.xsd.core,1.2.0.v201901071922,"org.eclipse.wst.xsd.core",1629364462781
started,bundle,org.eclipse.wst.xsl.core,1.2.100.v201907231732,"org.eclipse.wst.xsl.core",1629364462787
started,bundle,org.eclipse.wst.common.uriresolver,1.2.300.v201903222010,"org.eclipse.wst.common.uriresolver",1629364462943
started,bundle,org.eclipse.wst.css.core,1.2.0.v201904210526,"org.eclipse.wst.css.core",1629364462966
started,bundle,org.eclipse.wst.xsl.exslt.core,1.1.0.v201901071922,"org.eclipse.wst.xsl.exslt.core",1629364463599
started,bundle,org.eclipse.wst.internet.cache,1.0.800.v201903222010,"org.eclipse.wst.internet.cache",1629364463651
started,bundle,org.eclipse.ltk.ui.refactoring,3.10.0.v20190819-2110,"org.eclipse.ltk.ui.refactoring",1629364486690
started,bundle,org.eclipse.compare.core,3.6.600.v20190615-1517,"org.eclipse.compare.core",1629364486751
opened,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629364486778
started,bundle,org.eclipse.wst.sse.ui,1.6.0.v201905291408,"org.eclipse.wst.sse.ui",1629364486789
started,bundle,org.eclipse.jdt.debug,3.13.100.v20190902-1050,"org.eclipse.jdt.debug",1629364487076
started,bundle,org.eclipse.jdt.debug.ui,3.10.400.v20190815-2202,"org.eclipse.jdt.debug.ui",1629364487105
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629364487128
started,bundle,org.eclipse.core.variables,3.4.600.v20190614-1239,"org.eclipse.core.variables",1629364487312
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629364504539
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629364536840
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629364569681
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629364593114
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629364632361
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629364634413
opened,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629364634643
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629364634776
activated,view,org.eclipse.ui.ide,3.16.0.v20190916-1323,"org.eclipse.ui.views.ProblemView",1629364638613
opened,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.JavadocView",1629364638919
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.JavadocView",1629364638930
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629364638995
closed,view,org.eclipse.ui.ide,3.16.0.v20190916-1323,"org.eclipse.ui.views.ProblemView",1629364639008
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.JavadocView",1629364640794
opened,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.SourceView",1629364641019
