what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.js.node,1.1.100.v201903222101,"org.eclipse.wst.jsdt.js.node",1629536331882
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.300.v201903222101,"org.eclipse.wst.jsdt.js.npm",1629536331890
started,bundle,org.eclipse.wst.server.core,1.10.0.v201903232121,"org.eclipse.wst.server.core",1629536331976
started,bundle,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.ui",1629536331988
started,bundle,org.eclipse.ltk.ui.refactoring,3.10.0.v20190819-2110,"org.eclipse.ltk.ui.refactoring",1629536334099
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536338955
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1629536352749
started,bundle,org.eclipse.wst.ws.service.policy,1.0.450.v201903050508,"org.eclipse.wst.ws.service.policy",1629536352758
started,bundle,org.eclipse.jpt.common.utility,2.4.1.v201902121834,"org.eclipse.jpt.common.utility",1629536352968
started,bundle,org.eclipse.jpt.common.core,1.5.1.v201902121834,"org.eclipse.jpt.common.core",1629536352969
started,bundle,org.eclipse.jpt.jpa.core,3.5.1.v201902121834,"org.eclipse.jpt.jpa.core",1629536352970
started,bundle,org.eclipse.jpt.jpa.db,2.2.201.v201902121834,"org.eclipse.jpt.jpa.db",1629536353042
started,bundle,org.eclipse.datatools.connectivity,1.14.101.201811012051,"org.eclipse.datatools.connectivity",1629536353051
started,bundle,org.eclipse.compare,3.7.700.v20190802-1838,"org.eclipse.compare",1629536353601
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629536357835
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1629536358132
started,bundle,org.eclipse.libra.framework.core,0.3.1.201609011955,"org.eclipse.libra.framework.core",1629536358157
started,bundle,org.eclipse.php.builtin.server.core,6.3.0.201909061650,"org.eclipse.php.builtin.server.core",1629536358165
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536363628
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536363644
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536367294
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536367477
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536367493
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536376812
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536377005
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536377025
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536377858
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536378027
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536385300
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536386113
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536400570
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536541491
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536544935
started,bundle,org.eclipse.search,3.11.700.v20190813-2210,"org.eclipse.search",1629536545663
started,bundle,org.eclipse.dltk.validators.ui,5.11.0.201811220629,"org.eclipse.dltk.validators.ui",1629536545685
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536547307
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536549304
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.paste",1629536549316
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536551150
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536654424
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629536666880
opened,editor,org.eclipse.ui.editors,3.12.0.v20190730-1840,"org.eclipse.ui.DefaultTextEditor",1629536673164
activated,editor,org.eclipse.ui.editors,3.12.0.v20190730-1840,"org.eclipse.ui.DefaultTextEditor",1629536673218
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536685410
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536685578
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536694886
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536698719
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536703362
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536705455
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536708405
activated,editor,org.eclipse.ui.editors,3.12.0.v20190730-1840,"org.eclipse.ui.DefaultTextEditor",1629536708597
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536711977
closed,editor,org.eclipse.ui.editors,3.12.0.v20190730-1840,"org.eclipse.ui.DefaultTextEditor",1629536711990
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629536714245
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536717304
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536719423
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.delete",1629536719431
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536721794
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536817629
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629536825919
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536838684
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536840642
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.delete",1629536840650
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536841869
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536878210
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629536885363
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536887600
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629536887615
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629536896855
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537012122
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537015888
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537020726
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537022820
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.delete",1629537022828
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537026066
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537058256
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629537062773
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537065654
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537065671
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537076960
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629537077294
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629537077319
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537086897
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537087092
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537091306
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629537091489
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537095687
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629537095914
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629537095937
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629537112644
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537116574
started,bundle,org.eclipse.jst.jee.ui,1.0.901.v201903222025,"org.eclipse.jst.jee.ui",1629537124208
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.901.v201903222024,"org.eclipse.jst.j2ee.ejb",1629537124228
started,bundle,org.eclipse.jst.j2ee.jca,1.1.1000.v201904091346,"org.eclipse.jst.j2ee.jca",1629537124237
started,bundle,org.eclipse.jst.jee.ejb,1.0.500.v201903222025,"org.eclipse.jst.jee.ejb",1629537124256
started,bundle,org.eclipse.jst.jee.web,1.0.701.v201903222025,"org.eclipse.jst.jee.web",1629537124347
started,bundle,org.eclipse.xsd,2.16.0.v20190625-1130,"org.eclipse.xsd",1629537124383
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.902.v201901310132,"org.eclipse.jst.server.tomcat.core",1629537124578
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537125479
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1629537125798
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.500.v201901310132,"org.eclipse.jst.server.preview.adapter",1629537125800
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537127134
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629537127177
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.600.v201901310132,"org.eclipse.jst.server.tomcat.ui",1629537127205
started,bundle,org.eclipse.jdt.debug,3.13.100.v20190902-1050,"org.eclipse.jdt.debug",1629537127335
started,bundle,org.eclipse.m2e.launching,1.13.0.20190716-1624,"org.eclipse.m2e.launching",1629537127410
started,bundle,org.eclipse.jdt.debug.ui,3.10.400.v20190815-2202,"org.eclipse.jdt.debug.ui",1629537127461
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537128827
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537130385
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537130404
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537135194
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537135424
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537135435
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629537137484
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537142332
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537144069
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629537144092
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537144134
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537144153
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537172451
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537175248
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629537175476
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629537175486
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537456449
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537466330
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537478536
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629537572133
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538244042
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538403777
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629538406447
started,bundle,org.eclipse.jst.j2ee.ui,1.1.931.v201903222025,"org.eclipse.jst.j2ee.ui",1629538408436
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629538413099
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629538425072
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629538425095
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538447542
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538768988
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629538782866
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629538783038
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538810846
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538818439
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629538821016
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539079096
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539082798
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629539165668
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539167836
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.refresh",1629539171640
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539173917
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629539173959
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629539184200
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629539184372
