what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369536293
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369539231
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369565511
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629369597112
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369619562
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369619846
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369642448
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369642636
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369672202
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369672415
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369682388
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369682632
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369682645
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369698495
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369698661
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369698802
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369700372
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369700429
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369703176
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629369708928
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629369713619
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629369716093
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629369719193
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369719780
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369745799
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369779104
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369779362
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629369788003
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369803131
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369803347
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629369803453
started,bundle,org.eclipse.jdt.junit,3.11.500.v20190809-1613,"org.eclipse.jdt.junit",1629369807724
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629369807745
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629370045855
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629370079269
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629370100070
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629370100166
