what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629373839168
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629373899275
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629373904792
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629373956613
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629373956840
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629373956851
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629373964294
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629374029709
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629374046516
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629374052569
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629374529851
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629374536972
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629374537201
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629374537211
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629374550711
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629374550917
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629374566023
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629374566199
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629374583580
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629374588427
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629374605156
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629374615214
