what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.copy",1629563750245
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.paste",1629563752762
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.paste",1629563772517
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.paste",1629563773825
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629563889501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629563889656
error,log,,,"Errors occurred during the build.",1629563889660
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563889671
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563891529
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629563907588
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563915622
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563932639
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.newWizard",1629563932650
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629563932688
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629563932714
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629563932725
error,log,,,"Errors occurred during the build.",1629563932729
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563932803
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629563934194
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629564060953
