what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629557377471
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629557377709
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629557377733
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629557416032
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629557636557
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629557645856
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629557645982
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629557646022
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629557890751
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558122996
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558131886
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558160452
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.newWizard",1629558160461
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558160516
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558160537
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629558160538
error,log,,,"Errors occurred during the build.",1629558160542
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558160631
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558163751
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.3.200.v20190716-0939,"org.eclipse.equinox.p2.extensionlocation",1629558201309
started,bundle,org.eclipse.equinox.p2.updatesite,1.1.200.v20190716-0825,"org.eclipse.equinox.p2.updatesite",1629558202264
started,bundle,org.eclipse.equinox.p2.publisher,1.5.200.v20190611-1040,"org.eclipse.equinox.p2.publisher",1629558202265
error,log,,,"No repository found at http://dl.bintray.com/testng-team/testng-p2-release/.",1629558202592
started,bundle,org.eclipse.equinox.p2.director,2.4.400.v20190701-1309,"org.eclipse.equinox.p2.director",1629558232365
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558266380
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558266526
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558268008
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558268155
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.copy",1629558332251
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.paste",1629558335021
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629558356084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629558356193
error,log,,,"Errors occurred during the build.",1629558356196
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558356206
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558358259
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629558365491
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629558365599
error,log,,,"Errors occurred during the build.",1629558365602
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558365613
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558367392
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629558370926
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558375014
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558377478
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558381798
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558383399
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629558383413
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629558383451
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629558383473
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558397568
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558397722
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558409210
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558413940
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558434257
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.newWizard",1629558434266
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558434307
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629558434330
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629558434345
error,log,,,"Errors occurred during the build.",1629558434349
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558434430
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558435930
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629558587690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1629558587791
error,log,,,"Errors occurred during the build.",1629558587794
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558587804
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558589484
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629558594642
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558601328
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629558603084
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629558603096
