what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366170818
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366186422
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366190609
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366192110
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366192373
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366221887
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366225135
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366229225
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366229237
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366232701
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366252910
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366256980
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366256989
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366264859
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366265078
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366341484
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366369960
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366375676
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366375733
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366378242
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629366378474
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366432148
activated,editor,org.eclipse.wst.xml.ui,1.2.300.v201904272112,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1629366432440
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366456053
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366456240
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366473287
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366473484
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366478321
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366478539
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366499625
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366499833
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366499858
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366547083
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366551075
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366551091
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366552301
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366554339
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366559674
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366563505
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366563701
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629366569616
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366573775
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366579431
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366581599
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629366581613
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366581649
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366581671
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366586772
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366586786
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366588927
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366590729
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366592315
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366596030
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366603240
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366606447
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629366606461
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366606504
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366606523
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366610682
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366614836
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366617037
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629366617052
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366617092
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366617113
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366624773
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366666214
closed,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629366666379
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366666462
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366669565
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366669835
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366673118
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366678364
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366678536
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629366692959
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366696797
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366702013
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366703872
executed,command,org.eclipse.wst.server.ui,1.5.500.v201908161932,"org.eclipse.wst.server.launchShortcut.run",1629366703885
opened,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366703921
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366703940
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366705937
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366762707
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366767697
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366770197
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366806279
opened,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629366806512
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629366806580
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366808948
activated,editor,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.CompilationUnitEditor",1629366809210
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366809222
started,bundle,org.eclipse.tm4e.ui,0.3.4.201909051021,"org.eclipse.tm4e.ui",1629366842834
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366853178
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366855939
executed,command,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1629366856071
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629366859741
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366862622
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366866260
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366873023
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629366902918
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366910121
started,bundle,org.eclipse.wst.xsl.debug.ui,1.1.0.v201901071922,"org.eclipse.wst.xsl.debug.ui",1629366994025
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629366995140
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629366995204
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629366997341
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629366997507
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629367061659
opened,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629367063893
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629367063919
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629367078856
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629367078989
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629367113836
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629367114016
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.file.save",1629367158237
activated,view,org.eclipse.jdt.ui,3.19.0.v20190827-1733,"org.eclipse.jdt.ui.PackageExplorer",1629367167992
activated,editor,org.eclipse.jst.jsp.ui,1.2.200.v201904272124,"org.eclipse.jst.jsp.core.jspsource.source",1629367168141
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.copy",1629367181371
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367183318
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367316559
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367318645
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367320496
closed,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629367325091
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629367326762
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367355624
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367395208
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367397776
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367400046
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367400321
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367401361
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367401612
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367404316
executed,command,org.eclipse.ui,3.114.0.v20190808-1317,"org.eclipse.ui.edit.copy",1629367422598
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367425127
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367664707
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367671254
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367699934
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367703778
activated,editor,org.eclipse.ui.browser,3.6.500.v20190813-2217,"org.eclipse.ui.browser.editor",1629367703863
deactivated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367724625
activated,workbench,org.eclipse.ui.workbench,3.116.0.v20190826-1428,"",1629367732326
opened,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367738245
error,log,,,"No repository found at http://dl.bintray.com/testng-team/testng-p2-release/.",1629367790063
activated,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367810038
started,bundle,org.eclipse.equinox.p2.director,2.4.400.v20190701-1309,"org.eclipse.equinox.p2.director",1629367835098
closed,view,org.eclipse.ui.console,3.8.600.v20190815-2020,"org.eclipse.ui.console.ConsoleView",1629367851827
